"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"JamfDaemon","236","0","0","0","0","0","/Library/Application Support/JAMF/Jamf.app/Contents/MacOS/JamfDaemon.app/Contents/MacOS/JamfDaemon","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10444","0",,"False",,,"236",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"236",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (JamfDaemon)","0","","True","JamfDaemon",,,,,
"locationd","152","0","0","0","0","0","/usr/libexec/locationd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5424","0",,"False",,,"152",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"152",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (locationd)","0","","True","locationd",,,,,
"IOUserBluetoothSerialDriver","495","0","0","0","0","0","/System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10376","0",,"False",,,"495",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"495",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (IOUserBluetoothSerialDriver)","0","","True","IOUserBluetoothSerialDriver",,,,,
"XProtectUpdateService","3368","0","0","0","0","0","/System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectUpdateService.xpc/Contents/MacOS/XProtectUpdateService","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","12280","0",,"False",,,"3368",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"3368",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (XProtectUpdateService)","0","","True","XProtectUpdateService",,,,,
"installerdiagd","1444","0","0","0","0","0","/System/Library/PrivateFrameworks/InstallerDiagnostics.framework/Versions/A/Resources/installerdiagd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","12272","0",,"False",,,"1444",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1444",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (installerdiagd)","0","","True","installerdiagd",,,,,
"installd","1163","0","0","0","0","0","/System/Library/PrivateFrameworks/PackageKit.framework/Versions/A/Resources/installd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10268","0",,"False",,,"1163",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1163",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (installd)","0","","True","installd",,,,,
"installcoordinationd","1223","0","0","0","0","0","/System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10236","0",,"False",,,"1223",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1223",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (installcoordinationd)","0","","True","installcoordinationd",,,,,
"idleassetsd","631","0","0","0","0","0","/System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10200","0",,"False",,,"631",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"631",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (idleassetsd)","0","","True","idleassetsd",,,,,
"iconservicesd","132","0","0","0","0","0","/System/Library/CoreServices/iconservicesd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10172","0",,"False",,,"132",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"132",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (iconservicesd)","0","","True","iconservicesd",,,,,
"iconservicesagent","443","0","0","0","0","0","/System/Library/CoreServices/iconservicesagent","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","10144","0",,"False",,,"443",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"443",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (iconservicesagent)","0","","True","iconservicesagent",,,,,
