"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"bluetoothuserd","1","0","34644135936","3055616","0","0","/usr/libexec/bluetoothuserd","",,,"0.3514118",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5664","0",,"False","08/09/2025 6:30:54 PM",,"641",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34644135936","284397568","False",,,,"3055616","3055616",,"System.Diagnostics.ProcessModule (bluetoothuserd)","0","","True","bluetoothuserd","00:00:00.2008238","00:00:00.3514118","00:00:00.1505880",,
"ContextService","1","0","34754686976","3334144","0","0","/System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService","",,,"0.3556675",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2784","0",,"False","08/09/2025 6:30:58 PM",,"673",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34754686976","394948608","False",,,,"3334144","3334144",,"System.Diagnostics.ProcessModule (ContextService)","0","","True","ContextService","00:00:00.2565180","00:00:00.3556675","00:00:00.0991495",,
"dataaccessd","1","0","34650046464","2457600","0","0","/System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd","",,,"0.3770958",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7944","0",,"False","08/09/2025 6:42:12 PM",,"1422",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34650046464","290308096","False",,,,"2457600","2457600",,"System.Diagnostics.ProcessModule (dataaccessd)","0","","True","dataaccessd","00:00:00.1680170","00:00:00.3770958","00:00:00.2090788",,
"StatusKitAgent","1","0","34648879104","3227648","0","0","/System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent","",,,"0.3784338",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4480","0",,"False","08/09/2025 6:30:52 PM",,"552",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34648879104","289140736","False",,,,"3227648","3227648",,"System.Diagnostics.ProcessModule (StatusKitAgent)","0","","True","StatusKitAgent","00:00:00.1469737","00:00:00.3784338","00:00:00.2314601",,
"QuickLookUIService","11567","0","35112476672","12447744","0","0","/System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService","",,,"0.391239",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1008","0",,"False","09/09/2025 6:02:44 PM",,"11567",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"11567",,"System.Diagnostics.ProcessThreadCollection","0","35112476672","752738304","False",,,,"12447744","12447744",,"System.Diagnostics.ProcessModule (QuickLookUIService)","0","","True","QuickLookUIService","00:00:00.1518420","00:00:00.3912390","00:00:00.2393969",,
"generativeexperiencesd","1","0","34643312640","7372800","0","0","/System/Library/PrivateFrameworks/GenerativeExperiencesRuntime.framework/Versions/A/generativeexperiencesd","",,,"0.3990334",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1428","0",,"False","08/09/2025 6:30:52 PM",,"572",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34643312640","283574272","False",,,,"7372800","7372800",,"System.Diagnostics.ProcessModule (generativeexperiencesd)","0","","True","generativeexperiencesd","00:00:00.2071042","00:00:00.3990334","00:00:00.1919292",,
"inputanalyticsd","1","0","34643365888","3309568","0","0","/usr/libexec/inputanalyticsd","",,,"0.4034399",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3312","0",,"False","08/09/2025 6:35:05 PM",,"1405",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34643365888","283627520","False",,,,"3309568","3309568",,"System.Diagnostics.ProcessModule (inputanalyticsd)","0","","True","inputanalyticsd","00:00:00.1833537","00:00:00.4034399","00:00:00.2200861",,
"ThemeWidgetControlViewService","11570","0","35112960000","12419072","0","0","/System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService","",,,"0.4072084",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5608","0",,"False","09/09/2025 6:02:45 PM",,"11570",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"11570",,"System.Diagnostics.ProcessThreadCollection","0","35112960000","753221632","False",,,,"12419072","12419072",,"System.Diagnostics.ProcessModule (ThemeWidgetControlViewService)","0","","True","ThemeWidgetControlViewService","00:00:00.1559185","00:00:00.4072084","00:00:00.2512899",,
"AssetCacheLocatorService","1","0","34647621632","6156288","0","0","/System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService","",,,"0.4072378",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5604","0",,"False","09/09/2025 11:26:37 AM",,"3355",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34647621632","287883264","False",,,,"6156288","6156288",,"System.Diagnostics.ProcessModule (AssetCacheLocatorService)","0","","True","AssetCacheLocatorService","00:00:00.2439530","00:00:00.4072378","00:00:00.1632848",,
"ScreenTimeAgent","1","0","34652389376","4206592","0","0","/System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent","",,,"0.4215577",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2940","0",,"False","08/09/2025 6:30:54 PM",,"627",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34652389376","292651008","False",,,,"4206592","4206592",,"System.Diagnostics.ProcessModule (ScreenTimeAgent)","0","","True","ScreenTimeAgent","00:00:00.2524032","00:00:00.4215577","00:00:00.1691545",,
"homeenergyd","1","0","34643595264","13000704","0","0","/System/iOSSupport/System/Library/PrivateFrameworks/HomeEnergyDaemon.framework/Support/homeenergyd","",,,"0.4411051",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5888","0",,"False","09/09/2025 11:26:03 AM",,"3213",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34643595264","283856896","False",,,,"13000704","13000704",,"System.Diagnostics.ProcessModule (homeenergyd)","0","","True","homeenergyd","00:00:00.3296057","00:00:00.4411051","00:00:00.1114993",,
"LinkedNotesUIService","1","0","34727206912","26771456","0","0","/System/Library/PrivateFrameworks/PaperKit.framework/Contents/LinkedNotesUIService.app/Contents/MacOS/LinkedNotesUIService","",,,"0.4419213",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2444","0",,"False","09/09/2025 9:41:43 PM",,"12907",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","34727206912","367468544","False",,,,"26771456","26771456",,"System.Diagnostics.ProcessModule (LinkedNotesUIService)","0","","True","LinkedNotesUIService","00:00:00.1692143","00:00:00.4419213","00:00:00.2727069",,
"extensionkitservice","3224","0","34622803968","6938624","0","0","/System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice","",,,"0.4472257",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7092","0",,"False","09/09/2025 11:26:03 AM",,"3224",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"3224",,"System.Diagnostics.ProcessThreadCollection","0","34622803968","263065600","False",,,,"6938624","6938624",,"System.Diagnostics.ProcessModule (extensionkitservice)","0","","True","extensionkitservice","00:00:00.1351903","00:00:00.4472257","00:00:00.3120354",,
